Polar_expression,Polarity
varter opp,0.8333333333333334
herlig gjensyn,0.8333333333333334
skammelig forbigått sjarmbombe,1.0
engasjerende sci-fi-historie,0.8333333333333334
"givende , « Ratchet & Clank » -lignende spillbarhet",0.8333333333333334
jublet,1.0
trakk på skuldrene,0.3333333333333333
viste,0.3333333333333333
HD-oppusset versjon,0.8333333333333334
kruttsterk opplevelse,1.0
litt vel gammeldagse,0.3333333333333333
umulig å ignorere at teknologien har tatt enorme skritt siden den gang,0.3333333333333333
utvilsomt mer interessant satt opp mot spillmarkedet anno 2003,0.3333333333333333
givende,0.8333333333333334
underholdende,0.8333333333333334
engasjerende,0.8333333333333334
spennende,0.8333333333333334
bunnsolid,0.8333333333333334
liker,0.8333333333333334
veldig underholdende,1.0
glad i,0.8333333333333334
glad i,0.8333333333333334
glad i,0.8333333333333334
koser meg med de givende oppdragene,0.8333333333333334
givende,0.8333333333333334
elsker,1.0
Enestående spill-magi,1.0
Avlys alle avtaler og gled deg,1.0
magisk,1.0
enormt,1.0
fantastisk,1.0
oppslukende,1.0
finnes neppe noen mer elskede spillserier,1.0
Helt siden starten i 1986 har det ene,0.8333333333333334
stor glede,0.8333333333333334
fårete glis om munnen,0.8333333333333334
kanskje beste spillet i serien til nå,1.0
fantastisk,0.8333333333333334
episk,0.8333333333333334
sakte men sikkert vokser og vokser helt til hjertet mitt holder på å eksplodere av pur lykke,1.0
Stadig nye områder å utforske åpner seg opp,0.8333333333333334
plutselige og dramatiske vendinger,0.8333333333333334
fullstendig oppslukt i det som skjer,0.8333333333333334
magisk,0.8333333333333334
bare å rydde plass i kalenderen med en gang,1.0
inntil,1.0
Alt sitter som et skudd,1.0
nydelige,1.0
herlige,1.0
nostalgiske,0.8333333333333334
slåssingen mot monstere,0.8333333333333334
utforsking av grotter og andre områder,0.8333333333333334
kreativ bruk av diverse hjelpemidler,0.8333333333333334
ikke langt mellom gåsehudøyeblikkene,1.0
så bra,1.0
svært sjelden begivenhet,1.0
utnyttet på en eksemplarisk måte,1.0
føles det både selvfølgelig og naturlig,0.8333333333333334
Nintendos nye spillkonsoll kunne i det hele tatt ikke ha bedt om noe bedre lanseringsspill,1.0
Gamecube-eiere muligens ikke vil gå glipp av mye,0.8333333333333334
nok,0.8333333333333334
et av tidenes beste konsollspill,1.0
jublet,1.0
utrolig følelse,1.0
scoring på ekte goalgettervis,0.8333333333333334
fantastisk elegant,1.0
fortumlet,0.3333333333333333
utrolig følelse,0.8333333333333334
drøm som går i oppfyllelse,1.0
helt sensasjonelt,1.0
ikke en enkel,0.3333333333333333
ikke vært et enkelt år,0.3333333333333333
veldig glad,0.8333333333333334
hver eneste spiller fortjener å bli nevnt,0.8333333333333334
fortjent dette trofeet,0.8333333333333334
Tysklands toppscorer i mesterskapet,0.8333333333333334
Måten vi scorer målet på beskriver dette laget,0.8333333333333334
hylles,1.0
sensasjonelt mål,1.0
fortjente å bli verdensmestere,0.8333333333333334
verdige etterfølgere,0.8333333333333334
trist for at vi ikke klarte å vinne turneringen,0.3333333333333333
utførte en strålende kamp,1.0
veldig stolt over,0.8333333333333334
spilt to ekstraomganger og vi hadde en dag mindre hvile,0.5
veldig stolt,0.8333333333333334
spilt en ekstraordinær VM-turnering,0.8333333333333334
lagt igjen alt de har på banen,0.8333333333333334
hatt et fantastisk mesterskap,1.0
vanvittige 7-1-seieren over Brasil,1.0
den store favoritten til VM-gullet,0.8333333333333334
spådommen ble ikke gjort til skam,0.8333333333333334
perlemålet var en av tidenes vakreste scoringer som har avgjort et VM,1.0
så perfekt utført !,0.8333333333333334
legger den perfekt til rette,1.0
smeller den i lengste hjørne,0.8333333333333334
tøffere enn forventet,0.8333333333333334
sånn man ønsker at en slik stor finale skal være,0.8333333333333334
åpen,0.8333333333333334
"mottok Gullballen , prisen for VMs beste spiller",0.8333333333333334
innkassere VM-gullet,0.8333333333333334
innkassere,0.8333333333333334
mesterlig,1.0
bød ikke på fantastisk angrepsspill fra noen av lagene,0.3333333333333333
det som satte mest støkk i publikum var en stygg episode mellom Gonzalo Higuaín og Manuel Neuer,0.3333333333333333
livsfarlig spill,0.6666666666666666
Enorm Argentina-sjanse,0.8333333333333334
Argentina fikk en vanvittig gratismulighet,1.0
flikket ballen elegant ut på høyrekanten,0.8333333333333334
Argentina-stjernen,0.8333333333333334
ledig,0.8333333333333334
fikk to gode muligheter,0.8333333333333334
skuddet var unormalt svakt til han å være,0.3333333333333333
antakelig blir invitert i selskaper hos pologenserne framover,0.8333333333333334
ikon,1.0
sjokkerende vital,1.0
sinnssykt jålete fravær av sannsynligheter,0.6666666666666666
ærgjerrig forsøk på psykologisk liksom-drama,0.8333333333333334
kan komme til å elske,1.0
fantastisk,1.0
Verre,0.3333333333333333
kjipt og kjapt klippet,0.3333333333333333
kunne ha inneholdt Titanics undergang uten at du oppdaget det,0.6666666666666666
finslig,0.8333333333333334
Mesterverk,1.0
topp,1.0
gode,0.8333333333333334
Boblene går helt ut,0.3333333333333333
som om,0.8333333333333334
gjør nesten fysisk vondt,0.8333333333333334
Konfrontasjonene er oppsiktsvekkende,1.0
belyses,0.8333333333333334
Minst like interessant,1.0
Minst like,1.0
kunstneriske,0.8333333333333334
"utlevering av virkelige mennesker , forkledd som "" drama """,0.8333333333333334
Sterkt,1.0
Intens konfrontasjon,0.8333333333333334
Skillet mellom virkelighet og fiksjon er uansett sømløst,1.0
driver historien framover,0.8333333333333334
får oss til å følge fjetret med,1.0
får følelsene til å syde og tankene til å kverne,0.8333333333333334
upassende,0.3333333333333333
sosialt uintelligent,0.3333333333333333
logisk,0.8333333333333334
helt på sin plass,0.8333333333333334
tvers gjennom imponerende,1.0
Stilfull,0.8333333333333334
visuelle stilfulle,0.8333333333333334
voldelige undertoner blir raskt til overtoner,0.16666666666666666
nettopp det stilfulle fortrenger effekten av mysteriet i fortellingen,0.3333333333333333
kjent for surrealistisk og effektfullt billedspråk,0.8333333333333334
effektfullt,0.8333333333333334
surrealistisk,0.8333333333333334
I « Stoker » bruker,0.8333333333333334
manipulerende egenskaper,0.3333333333333333
tåkelagt frustrasjon,0.3333333333333333
farlige tilbøyeligheter,0.3333333333333333
"spilles med en overbevisende miks av uggen , kjølig distanse og rå energi",0.8333333333333334
leker seg med undertoner av sensuell søvnighet,0.8333333333333334
forfører damene med flørtende eleganse,0.8333333333333334
brå kast av visuell uhygge og vold som korresponderer godt med personenes turbulente sinn,0.8333333333333334
forbilder,0.8333333333333334
oftest gir publikum en nervebitende opplevelse,0.8333333333333334
mer visuell stilfull enn nifs,0.16666666666666666
vakker å se på,0.8333333333333334
historien er i stilleste laget,0.3333333333333333
i stilleste laget,0.3333333333333333
fortryllet millioner av barn ( og voksne ),1.0
fortryllet millioner av barn ( og voksne ),1.0
fortryllet millioner av barn ( og voksne ),1.0
fortryllet millioner av barn ( og voksne ),1.0
Snill og søt,0.8333333333333334
snill,0.3333333333333333
naiv,0.8333333333333334
like voldsfri som andre Ghibli-filmer,0.8333333333333334
tenåringer vil synes at den er ganske barnslig fortalt,0.3333333333333333
muligens vel avansert for femåringer,0.16666666666666666
Krevende,0.3333333333333333
Som alltid,1.0
nytelse,1.0
ikke,0.3333333333333333
krevende gjeng,0.3333333333333333
ikke anbefale,0.3333333333333333
"har du en sønn eller datter på ti , kan du trygt spandere billetter",0.8333333333333334
skoleeksempel på å sette stil foran innhold,0.3333333333333333
På papiret,0.8333333333333334
Verdens cooleste,1.0
ninjaer,0.8333333333333334
ultravold i sakte film,0.8333333333333334
Samuel L. Jackson,0.8333333333333334
Ron Perlman,0.8333333333333334
tilbakelente hip-hop-toner fra The RZA,0.8333333333333334
Selv uten anime-serien,1.0
roper om å bli kjøpt,1.0
til en viss grad,0.8333333333333334
forutsigbart,0.3333333333333333
visuelt lekkert og variert,0.8333333333333334
lager en deilig ramme,0.8333333333333334
lager en deilig ramme,0.8333333333333334
ikke er i nærheten av å oppnå sitt udiskutable potensiale,0.6666666666666666
så klønete satt sammen,0.6666666666666666
pælmet inn i spillet på vilkårlig og forvirrende vis,0.6666666666666666
plaget av skurring,0.6666666666666666
plaget av skurring,0.6666666666666666
amatørmessig spakt,0.3333333333333333
konseptet « Afro Samurai » fortjener et bedre spill,0.3333333333333333
skuffende,0.3333333333333333
fikser Lennon,0.8333333333333334
Lykkes nesten hundre prosent,1.0
fikser det meste,0.8333333333333334
klarer han til og med å fremstå som en troverdig utgave av John Lennon,0.8333333333333334
solid musikalsk historielekse,0.8333333333333334
litt humor,0.8333333333333334
ikke alltid stemmer hundre prosent,0.16666666666666666
aldri helt kommer under huden på hovedpersonen,0.16666666666666666
heldigvis få av,0.8333333333333334
fungerer det atskillig bedre,0.8333333333333334
lite å utsette på,0.8333333333333334
klarer faktisk til tider å høres ut som Lennon selv,0.8333333333333334
skurrer det aldri,1.0
Ikke alle fremføres i sin helhet,0.5
riktig bra låter det uten unntak,0.8333333333333334
Ofte er de ganske tro mot originalen,0.8333333333333334
tro mot originalen,0.8333333333333334
frie tolkninger,0.8333333333333334
helt som det skal være,0.8333333333333334
klarer virkelig å gjenskape både Beatles og Lennon på en måte som det står respekt av,1.0
musikalsk forestilling lykkes,1.0
historielekse,0.16666666666666666
så bra at Tor Endresen allerede nå burde søke skoleverket om få fremført forestillingen som pensum for den oppvoksende generasjon,1.0
Under gjennomsnittet,0.3333333333333333
gjennomsnittlig,0.3333333333333333
åpner ikke så aller verst,0.5
renskåret,0.8333333333333334
ikke evner å skrive gode låter selv,0.6666666666666666
store problem,0.6666666666666666
inntok stjernehimmelen i 2003 med hitsinglene « Chariot » og « I Don't Wanna Be »,1.0
hitsinglene,1.0
oppkok over samme lest,0.3333333333333333
teknisk begavet sanger,1.0
teknisk begavet,1.0
begavet,1.0
middelmådig låtskriver,0.3333333333333333
denne gangen leverer under eget pari,0.3333333333333333
bugner over av klisjeer,0.16666666666666666
mangelen på kreativitet,0.6666666666666666
ikke klarer å finne en annen albumtittel enn en av rockehistoriens mest brukte,0.6666666666666666
føles,0.16666666666666666
ikke er særlig lang,0.5
ufortjent glemt,
hyller,0.8333333333333334
burde nådd toppen,0.8333333333333334
uheldigvis ble glemt i en skuff,0.16666666666666666
kanskje et av Oslos viktigste band,1.0
tilhører en prisverdig tradisjon,0.8333333333333334
har,0.8333333333333334
aldri glemt hvor de kommer fra,0.8333333333333334
tro mot sitt opphav,0.8333333333333334
årets juleplater,0.8333333333333334
Stayerevne,0.8333333333333334
Solidaritetstanken sitter i ryggmargen,0.8333333333333334
Stayerevnen,0.8333333333333334
Stayerevnen,0.8333333333333334
holdt det gående i nærmere førti år,0.8333333333333334
klarer også fortsatt å ta pulsen på samtiden,0.8333333333333334
klarer,0.8333333333333334
klarer,0.8333333333333334
kan virke umoderne i noen sine ører,0.16666666666666666
musikalsk tilhører en annen tid,0.16666666666666666
revitalisert,0.8333333333333334
potent,0.8333333333333334
fortjener større oppmerksomhet,0.8333333333333334
Mer enn et lokalband,0.8333333333333334
burde vært omtalt på lik linje med Sambandet og Hellbillies,0.8333333333333334
forblitt et lokalband fra Oslo,0.16666666666666666
flere strålende,1.0
kan virke provoserende,0.16666666666666666
burde heller mane til ettertanke og refleksjon,0.8333333333333334
tar opp brennbare saker,0.8333333333333334
gir av egen erfaring,0.8333333333333334
spenner opp et speil vi kan se oss selv i,0.8333333333333334
viser sitt mesterlige grep på denne sjangeren,1.0
Dagsaktuelle temaer,0.8333333333333334
"Få , om noen , skriver slike sanger i landet i dag",0.8333333333333334
god historieforteller,0.8333333333333334
har hjertet med seg i fortellingene,0.8333333333333334
forblir man ikke uberørt,0.8333333333333334
spesielt god på de ulike tidsbildene han setter sangene i,1.0
gjør godt,0.8333333333333334
ikke skrevet i et vakuum,0.8333333333333334
mest kontroversielle og brennbare,0.8333333333333334
taler for seg selv,0.8333333333333334
Minneperler,0.8333333333333334
En av de fineste øyeblikkene,1.0
frontfigurene i den politiske visebevegelsen på 70-tallet,0.8333333333333334
nydelig lite tidsbilde,1.0
godbit,0.8333333333333334
mest rørende,1.0
griper direkte inn i dagens mest aktuelle konflikt,0.8333333333333334
samhold,0.8333333333333334
tilhørighet,0.8333333333333334
raushet,0.8333333333333334
hyllest,0.8333333333333334
Finstemt,0.8333333333333334
finstemt,0.8333333333333334
gir vitalt liv til låtskriverens mer eller mindre illsinte tekster,0.8333333333333334
tuftet på visens premisser,0.8333333333333334
treffer,0.8333333333333334
står fjellstøtt på egne premisser,1.0
Rørende hyllest,0.8333333333333334
Australias svar på The Smiths og R.E.M.,0.8333333333333334
formidabelt kunstnerisk,0.8333333333333334
lagde sin kanskje beste,0.8333333333333334
"sørgmodig , akustisk drevet rock helt i tråd med det siste han og McLennan lagde sammen",0.8333333333333334
oppløftende,0.8333333333333334
praktfulle,0.8333333333333334
takler med verdighet og en rak rygg som bærer praktfulle melodier og oppløftende tekster,0.8333333333333334
ikke ubetydelig « Automatic For The People » -følelse,0.8333333333333334
underholdende repetisjonsøvelse,0.16666666666666666
vital videreføring av ubesudlet magi,0.8333333333333334
vital videreføring,0.8333333333333334
er av de store premium-aktørene globalt,1.0
på fremmarsj,0.8333333333333334
effekttallet,0.8333333333333334
Kjøreglede,1.0
av en mer markant linjeføring,0.8333333333333334
nesten aggressivt,0.8333333333333334
røper modellens mer sportslige ambisjoner,0.8333333333333334
elegant,1.0
relativt anonym i stilen,0.16666666666666666
Slappere,0.16666666666666666
ser ut som om de hadde mistet noe av inspirasjonen da de kom til hekken,0.3333333333333333
mer anonymt Toyota-preg,0.16666666666666666
er litt skuffet over at designerne ser ut som om de hadde mistet noe av inspirasjonen da de kom til hekken,0.3333333333333333
harmonisk og sporty i stilen,0.8333333333333334
godt utgangspunkt,1.0
Standsmessig,0.8333333333333334
Enda bedre,1.0
Luksusfølelsen er påtagelig som seg hør og bør,1.0
elegant,0.8333333333333334
ryddig,0.8333333333333334
ergonomisk,0.8333333333333334
høy,1.0
Kvalitetsfølelsen er høy,1.0
forseggjorte,1.0
rødt skinninteriør,0.5
man kan selvsagt velge mer diskret dekor,0.8333333333333334
kledde bilen godt,1.0
Stor,0.8333333333333334
bugner av utstyr som gjør livet om bord lettere,1.0
gjør livet om bord lettere,1.0
stor,0.8333333333333334
informativ,0.8333333333333334
"12,3 tommer",0.8333333333333334
utstyrt med en stor og informativ skjerm,0.8333333333333334
ikke,0.16666666666666666
irriterende til tider,0.3333333333333333
viser seg praktisk,0.8333333333333334
gir rask tilgang til relevant informasjon,0.8333333333333334
Nok plass,0.8333333333333334
merkbart romsligere enn forgjengeren,0.8333333333333334
har kommet seg betraktelig,1.0
ganske voksen bil,0.8333333333333334
485 lengdecentimeter,0.8333333333333334
designet for å omslutte føreren,0.16666666666666666
ikke,0.16666666666666666
man føler seg på en måte i ett med bilen,1.0
viss følelse av intimitet,0.8333333333333334
ikke noe å si på,1.0
ikke noe å si på,1.0
Å finne riktig sittestilling er ikke noe problem,1.0
18-veis elektrisk regulerbare seter,0.8333333333333334
bedre enn før,0.8333333333333334
en god del større enn det var på forgjengeren,0.8333333333333334
batteripakken spiste en god del av plassen,0.3333333333333333
har,0.8333333333333334
helt akseptabelt med 459 liter,0.8333333333333334
har plassert batteriene på en smartere måte,0.8333333333333334
tar selvsagt fortsatt noe plass,0.16666666666666666
kan,1.0
Oppgradert hybrid,1.0
oppdatert,0.8333333333333334
"bensindrevet V6-motor på 3,5 liter",0.8333333333333334
fungerer nå i henhold til Atkinsons syklus,0.8333333333333334
inntaksventilenes åpningstid er forlenget,0.8333333333333334
forbruk og utslipp er gått ned,1.0
Toppeffekten er 343 hestekrefter,1.0
"forbruk på 0,59 liter per mil",1.0
CO2-utslipp begrenset til 137 gram per kilometer,1.0
"ikke det er dårlig i en stor , tung bil",1.0
343 hestekrefter,1.0
Nok krefter,0.8333333333333334
kan yte opptil 200 hestekrefter,1.0
kan yte opptil,1.0
345 hestekrefter,1.0
mer enn tilfredsstillende,1.0
lineær,0.8333333333333334
kraftfull,0.8333333333333334
får,0.16666666666666666
smidigere,0.8333333333333334
"gir mindre "" symaskin "" -følelse enn i Toyota-hybridene",0.8333333333333334
foretrekker ubetinget BMWs løsning med åttetrinns sportsautomat,1.0
Sporty komfort,0.8333333333333334
i fremgang i forhold til forrige GS 450h,0.8333333333333334
ikke,0.16666666666666666
mer dynamiske,0.8333333333333334
mer,0.8333333333333334
Utstyrt med det adaptive understellet,0.8333333333333334
Utstyrt med,0.8333333333333334
inkluderer firehjulsstyring,0.8333333333333334
riktig så tilfredsstillende,1.0
kjøredynamikken riktig så tilfredsstillende,0.8333333333333334
Komfortabel,1.0
God,1.0
luksus-pakke,1.0
teknologileder,1.0
meget god,1.0
"kraftfull , men nøysom drivlinje",1.0
kraftfull,1.0
nøysom,0.8333333333333334
god kjøredynamikk,1.0
god,0.8333333333333334
meget god komfort,1.0
meget god,1.0
luksus,1.0
mye utstyr,1.0
høy - men konkurransedyktig pris,0.8333333333333334
konkurransedyktig,0.8333333333333334
gylden mulighet,1.0
Rimeligere blir det også,1.0
Vorspielartisten,0.16666666666666666
beholder nok sine mange norske fans,0.8333333333333334
god,0.8333333333333334
"popplate , mer bandpreget og mindre rølpete",0.3333333333333333
mer bandpreget og mindre rølpete enn vi har hør fra Rosenström før,0.8333333333333334
variert syng-med-popmusikk,0.8333333333333334
ironiske,0.8333333333333334
humorfylte,0.8333333333333334
ironiske og humorfylte tekster,0.8333333333333334
jevnt god,0.8333333333333334
lever opp til platetittelen,0.8333333333333334
Tålmodige,0.8333333333333334
Vital,1.0
ilter,0.8333333333333334
viltvoksende,1.0
Bergens kanskje beste band,1.0
peker tilbake til,0.8333333333333334
underlige sammenføyning av teknisk virtuositet og slørete estetiske idealer,0.8333333333333334
lyriske råtasseri,0.8333333333333334
"fremmedgjørende , dehypnotiserende element i musikken",0.8333333333333334
assosiasjoner til Ween og deres brautende livsanskuelse,1.0
vokser i et forrykende tempo for hver gjennomlytting,1.0
"åpenbarer seg gradvis som intrikate , sporadisk vakre og tonalt hensynsløse minisymfonier",1.0
intrikate,1.0
sporadisk vakre,1.0
tonalt hensynsløse,0.8333333333333334
lag på lag av muskuløs lyd og oppfinnsomme låtstrukturer lar seg skrelle av på vei inn mot den forrykte kjernen,1.0
på ingen måte noen lett plate å forholde seg til,0.16666666666666666
passer sjeldent bedre enn i akkurat dette tilfellet,1.0
strålende,1.0
sjeldent sterk debut,1.0
dukket opp fra intet i fjor,0.5
talent,0.8333333333333334
Fiske og Kverneland gjorde et strålende valg,1.0
pangdebut av det helt sjeldne slaget,1.0
så innholdsrik at det ikke engang holder med én tegneserie,1.0
enkle,0.5
uttrykksfulle,1.0
Førstehåndskilder,0.8333333333333334
Førstehåndskilder,0.8333333333333334
"klarer å omforme historisk materiale til fullverdige , og rent briljante tegneserier",1.0
fullverdige,1.0
rent briljante,1.0
At det er en gullalder for historisk baserte tegneserier i Norge nå er det ingen tvil om,1.0
ikke,0.3333333333333333
Mange,0.3333333333333333
enkelt portrettert,0.16666666666666666
fungerer godt,0.8333333333333334
en person leseren får sympati for,0.8333333333333334
har all mulighet til å bli en virkelig tegneserieklassiker,1.0
full tiltro til at han vil klare,0.8333333333333334
heldigvis,1.0
fortsetter,0.5
Heldigvis,0.8333333333333334
skal røre ved hjertet,0.8333333333333334
ondskapsfulle kjæresten,0.6666666666666666
stor tro,0.8333333333333334
selvtilliten var på et minimalt nivå,0.6666666666666666
nærmest gråt mens hun blødde av hele hjertet utover nylonstrengene,0.8333333333333334
skinte det av en pint sjel,0.8333333333333334
tynne,0.3333333333333333
slitne,0.3333333333333333
